"Date","Event"
"4/26/1886","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1886","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1886","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/25/1887","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/25/1887","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1887","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"5/10/1887","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"4/23/1888","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/30/1888","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1888","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"5/10/1888","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"4/22/1889","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/29/1889","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1889","North America - United States - State holiday - Confederate Memorial Day - Friday"
"5/10/1889","North America - United States - State holiday - Confederate Memorial Day - Friday"
"4/28/1890","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/28/1890","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/9/1890","North America - United States - State holiday - Confederate Memorial Day - Friday"
"5/10/1890","North America - United States - State holiday - Confederate Memorial Day - Saturday"
"5/10/1890","North America - United States - State holiday - Confederate Memorial Day - Saturday"
"4/27/1891","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/27/1891","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1891","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"5/10/1891","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"5/11/1891","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/11/1891","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/25/1892","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/25/1892","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1892","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"5/10/1892","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"4/24/1893","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/24/1893","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1893","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"5/10/1893","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"4/23/1894","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/30/1894","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1894","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"5/10/1894","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"4/22/1895","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/29/1895","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1895","North America - United States - State holiday - Confederate Memorial Day - Friday"
"5/10/1895","North America - United States - State holiday - Confederate Memorial Day - Friday"
"4/27/1896","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/27/1896","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1896","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"5/10/1896","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"5/11/1896","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/11/1896","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/26/1897","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/26/1897","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1897","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1897","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/25/1898","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/25/1898","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1898","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"5/10/1898","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"4/24/1899","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/24/1899","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1899","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"5/10/1899","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"4/23/1900","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/30/1900","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1900","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"5/10/1900","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"4/22/1901","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/29/1901","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1901","North America - United States - State holiday - Confederate Memorial Day - Friday"
